epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,lr,train_sec,train_img_per_sec,val_sec,val_img_per_sec,cuda_max_mem_bytes
0,0.6646675537614262,0.31851851851851853,0.7616240829229355,0.30454545454545456,0.4610754414125201,0.5254146602461209,0.3120643391215946,0.17543859649122806,0.7142857142857143,0.28169014084507044,37,141,12,30,2.9411764705882355e-06,13.62416839999969,79.27089333393917,1.554064699999799,141.56424761467684,4204977152
1,0.5157808661460876,0.7666666666666667,0.6285078078508377,0.7,0.5872124130551097,0.5016051364365971,0.3031951069697537,0.29310344827586204,0.40476190476190477,0.34,137,41,25,17,4.4117647058823526e-06,13.23199779999959,81.6203279598515,1.7482827000003454,125.83777211772247,4204977152
2,0.35983168026980233,0.9175925925925926,0.531734399497509,0.7545454545454545,0.5390583199571963,0.549625468164794,0.31394549053958626,0.2857142857142857,0.19047619047619047,0.22857142857142856,158,20,34,8,5.882352941176471e-06,13.720945500000198,78.71177682325059,1.4357967999994798,153.22502459963673,4204977152
3,0.23912220229120815,0.9407407407407408,0.4670160822570324,0.8272727272727273,0.6021936864633494,0.6819154628143391,0.4344215415160931,0.625,0.23809523809523808,0.3448275862068966,172,6,32,10,7.3529411764705884e-06,13.39143729999978,80.64854995064778,1.508677799999532,145.8230511511923,4204977152
4,0.16310171958278208,0.9592592592592593,0.4110209736973047,0.8409090909090909,0.6197164258962011,0.8010968432316747,0.5705060610393308,0.7333333333333333,0.2619047619047619,0.38596491228070173,174,4,31,11,8.823529411764705e-06,13.419601499999771,80.47928994016837,1.4239931000001889,154.49513062947483,4204977152
5,0.1231839573558639,0.9685185185185186,0.41619759798049927,0.8136363636363636,0.6301498127340824,0.8212948100588551,0.5654669514076558,0.5185185185185185,0.3333333333333333,0.4057971014492754,165,13,28,14,1.0294117647058824e-05,12.991292499999872,83.13260593586132,1.4585972000004404,150.82985213459452,4204977152
6,0.12782683201572476,0.9583333333333334,0.4548741839826107,0.7772727272727272,0.6531567683253077,0.817549491706795,0.5168647614760515,0.4222222222222222,0.4523809523809524,0.4367816091954023,152,26,23,19,1.1764705882352942e-05,13.365853199999947,80.80292248010058,2.169710999999552,101.39599236951163,4204977152
7,0.09108357635491035,0.9694444444444444,0.4494839906692505,0.8227272727272728,0.6721508828250401,0.8079186730872124,0.5742905461084068,0.5454545454545454,0.42857142857142855,0.48,163,15,24,18,1.323529411764706e-05,13.657553500000176,79.0771202177598,1.4874109000002136,147.90801922990372,4204977152
8,0.07251882109352771,0.9787037037037037,0.4174842368811369,0.7909090909090909,0.6070090957731407,0.8463081861958267,0.5682082088887781,0.43333333333333335,0.30952380952380953,0.3611111111111111,161,17,29,13,1.4705882352941177e-05,13.128083600000537,82.26638654250769,1.4949474000004557,147.1623683883011,4204977152
9,0.07079671410953298,0.9740740740740741,0.4758524070493877,0.8681818181818182,0.6729534510433387,0.865569823434992,0.7236470667630844,0.8823529411764706,0.35714285714285715,0.5084745762711864,176,2,27,15,1.6176470588235296e-05,13.341049900000144,80.9531489721801,1.3537078000008478,162.51660808917717,4204977152
